Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
745,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),NA,Malaysia,Asia,10.8,35,15.8,5.3,8.6,54.7,22.1,17.7,49,51.26186439,https://www.topuniversities.com/sites/default/files/231025091749am823761UMPSA-logo-48x48.jpg
746,University of Central Florida,NA,United States,North America,13.7,23.6,2.9,23,4.3,72.2,9.5,12.1,57,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-central-florida_209_small.jpg
747,University of Westminster,NA,United Kingdom,Europe,11.5,5.1,5.7,6.8,100,35.4,77.4,1.7,60,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-westminster_592560cf2aeae70239af4d26_small.jpg
748,UWE Bristol,NA,United Kingdom,Europe,9,11.9,7.5,9,75.3,76.1,46.9,14.3,54,78.90086953,https://www.topuniversities.com/sites/default/files/220519010052pm626426UWE-Web-Avatar-Top-48x48.jpg
749,Universität Regensburg,NA,Germany,Europe,10.3,6.1,80,6,8.5,69.1,NA,2,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-regensburg_592560cf2aeae70239af4c89_small.jpg
750,V. N. Karazin Kharkiv National University,NA,Ukraine,Europe,12.6,1.4,64.6,16.9,55.7,29.4,3.3,4.9,54,28.75240605,https://www.topuniversities.com/sites/default/files/v.-n.-karazin-kharkiv-national-university_19511_small.jpg
751,Victoria University ,NA,Australia,Oceania,6.9,34.1,2.4,6.1,41.5,44.9,32.7,34.8,54,86.09321752,https://www.topuniversities.com/sites/default/files/victoria-university-_592560cf2aeae70239af4dd6_small.jpg
752,Vytautas Magnus University,NA,Lithuania,Europe,10.4,2.4,41.8,16.8,47.8,48.1,26.7,6.7,61,66.79713661,https://www.topuniversities.com/sites/default/files/vytautas-magnus-university_592560cf2aeae70239af5032_small.jpg
753,Wake Forest University,NA,United States,North America,5.1,8.6,100,6.3,10.9,42.8,3.2,1.7,54,89.24293274,https://www.topuniversities.com/sites/default/files/wake-forest-university_661_small.jpg
754,Instituto Tecnológico Autónomo de México (ITAM),NA,Mexico,Latin America,15.2,1.6,13.9,31,1.4,7.7,51,1,54,49.96921193,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-autnomo-de-mxico-itam_592560cf2aeae70239af4da6_small.jpg
755,Kaunas University of Technology,NA,Lithuania,Europe,11.2,7.9,31.1,18.5,28.6,64.2,3.5,16.1,36,66.79713661,https://www.topuniversities.com/sites/default/files/kaunas-university-of-technology_1454_small.jpg
756,Technische Universität Braunschweig,NA,Germany,Europe,10.9,5.5,55.5,14.3,24.2,66.4,NA,7.3,54,80.39040908,https://www.topuniversities.com/sites/default/files/technische-universitt-braunschweig_596_small.jpg
757,Tokyo University of Science,NA,Japan,Asia,10.4,10,9.4,51.5,3.7,20.3,12.5,2.4,25,73.04123134,https://www.topuniversities.com/sites/default/files/tokyo-university-of-science_14169_small.jpg
758,Universidade de Brasília,NA,Brazil,Latin America,25.3,4.2,7.1,7.9,1.5,67.5,10.8,35.1,54,46.15332796,https://www.topuniversities.com/sites/default/files/universidade-de-braslia_1726_small.jpg
759,Universita' Politecnica delle Marche,NA,Italy,Europe,5.9,48.4,10.1,2.8,6.3,77.7,4.9,6.4,54,72.96288444,https://www.topuniversities.com/sites/default/files/universita-politecnica-delle-marche_592560cf2aeae70239af501b_small.jpg
760,University of Calcutta,NA,India,Asia,17.1,21.4,5.5,6.5,1.1,56,24.7,1.5,54,18.52273058,https://www.topuniversities.com/sites/default/files/university-of-calcutta_592560cf2aeae70239af4ad4_small.jpg
761,University of Engineering & Technology (UET) Lahore,NA,Pakistan,Asia,10,6.7,18,43.2,1.8,41.6,1.1,7.5,29,9.699987771,https://www.topuniversities.com/sites/default/files/university-of-engineering-technology-uet-lahore_592560cf2aeae70239af4d82_small.jpg
762,University of Malta,NA,Malta,Europe,6.1,7.2,31.7,4.6,19.2,75.9,18,1.9,59,72.90987643,https://www.topuniversities.com/sites/default/files/university-of-malta_592560cf2aeae70239af581a_small.jpg
763,University of Messina (UniME),NA,Italy,Europe,8.4,36.7,14.2,2.3,6,75.6,1.3,36.6,54,72.96288444,https://www.topuniversities.com/sites/default/files/university-of-messina-unime_5a0b25faca24f343003ab8f5_small.jpg
764,"Adam Mickiewicz University, Poznań",NA,Poland,Europe,16,4.8,33.3,9.1,8.3,86.7,7.7,31.6,68,59.99969104,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg
765,Bangladesh University of Engineering and Technology,NA,Bangladesh,Asia,16.9,14.9,13.6,36.6,1,25.1,NA,1.2,22,21.28320627,https://www.topuniversities.com/sites/default/files/bangladesh-university-of-engineering-and-technology_592560cf2aeae70239af4dd7_small.jpg
766,King Faisal University,NA,Saudi Arabia,Asia,16.4,2.7,14.5,12.7,3.9,59.3,98,1.5,60,73.39639355,https://www.topuniversities.com/sites/default/files/king-faisal-university_592560cf2aeae70239af4f18_small.jpg
767,Nanjing University of Aeronautics and Astronautics,NA,China,Asia,5.5,57.8,12.4,3.4,3,39.7,5.3,1.6,54,52.76973633,https://www.topuniversities.com/sites/default/files/nanjing-university-of-aeronautics-and-astronautics_592560cf2aeae70239af4df3_small.jpg
768,University of Cincinnati,NA,United States,North America,11,22.9,19.4,6,12.4,69,4.3,22.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-cincinnati_129_small.jpg
769,"University of Colorado, Denver ",NA,United States,North America,8.2,3.6,100,6.1,8.1,45.7,3.4,3.8,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-colorado-denver_2116_small.jpg
770,University of Patras,NA,Greece,Europe,11.7,27,2.7,17.1,4.8,60.6,1.4,44.9,51,63.28306397,https://www.topuniversities.com/sites/default/files/university-of-patras_592560cf2aeae70239af4c6f_small.jpg
771,Addis Ababa University,NA,Ethiopia,Africa,6.4,1.7,58.8,9.3,NA,55.2,NA,3.3,54,0.998094366,https://www.topuniversities.com/sites/default/files/addis-ababa-university_592560df9988f300e23208f9_small.jpg
772,Bournemouth University,NA,United Kingdom,Europe,5.8,16.4,6.1,6.4,47.1,72.6,80.3,5.3,53,78.90086953,https://www.topuniversities.com/sites/default/files/bournemouth-university_592560cf2aeae70239af4ac4_small.jpg
773,Chiba University,NA,Japan,Asia,16.6,8.8,66.1,8.5,4.3,28.9,7.5,8.7,38,73.04123134,https://www.topuniversities.com/sites/default/files/chiba-university_119_small.jpg
774,China University of Geosciences,NA,China,Asia,5.1,31.8,53.6,1.4,2.7,67,1.5,4,54,52.76973633,https://www.topuniversities.com/sites/default/files/china-university-of-geosciences_2006_small.jpg
775,"El Colegio de México, A.C.",NA,Mexico,Latin America,14.9,1.7,100,2.5,16.4,9.6,8.5,1,54,49.96921193,https://www.topuniversities.com/sites/default/files/el-colegio-de-mxico-a.c._592560cf2aeae70239af547b_small.jpg
776,Holy Spirit University of Kaslik ,NA,Lebanon,Asia,6.7,2.1,62.3,6.4,37.8,6.5,98.9,1.1,54,NA,https://www.topuniversities.com/sites/default/files/holy-spirit-university-of-kaslik-_592560cf2aeae70239af4ee8_small.jpg
777,Universidad del Rosario,NA,Colombia,Latin America,15.8,2.5,24.2,28.5,2.7,31.8,7.2,24.5,54,39.64359706,https://www.topuniversities.com/sites/default/files/universidad-del-rosario_592560cf2aeae70239af514d_small.jpg
778,"University of Maryland, Baltimore County",NA,United States,North America,10.2,13.5,14.1,6.8,25.8,45,49.8,57.7,46,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-maryland-baltimore-county_592560cf2aeae70239af52af_small.jpg
779,University of Pecs,NA,Hungary,Europe,14.3,2.8,41.4,11.9,64.3,40.3,9.3,11.3,54,60.60194862,https://www.topuniversities.com/sites/default/files/university-of-pcs_592560cf2aeae70239af4fff_small.jpg
780,Université de Tunis El Manar,NA,Tunisia,Africa,9.4,5.1,26,4.3,7.8,82.1,39.5,16.3,54,28.43509143,https://www.topuniversities.com/sites/default/files/universit-de-tunis-el-manar_592560cf2aeae70239af5472_small.jpg
781,Verona University,NA,Italy,Europe,9.1,41.6,4.1,2.7,4.2,71,4.5,22.5,64,72.96288444,https://www.topuniversities.com/sites/default/files/verona-university_592560cf2aeae70239af5667_small.jpg
782,Babes-Bolyai University,NA,Romania,Europe,15.5,4.4,5.3,19.5,3.8,80.1,7.8,42.7,54,57.30023368,https://www.topuniversities.com/sites/default/files/babes-bolyai-university_592560cf2aeae70239af5299_small.jpg
783,Kasetsart University,NA,Thailand,Asia,25.2,2.5,6.5,18.6,1.3,51.9,4.3,33.9,62,40.42188741,https://www.topuniversities.com/sites/default/files/kasetsart-university_312_small.jpg
784,National University of Uzbekistan named after Mirzo Ulugbek,NA,Uzbekistan,Asia,25.5,1.3,5.2,15.8,2.5,11.8,89,1.4,56,17.87322128,https://www.topuniversities.com/sites/default/files/national-university-of-uzbekistan-named-after-mirzo-ulugbek_5b9113029ed4196529279a36_small.jpg
785,Qassim University,NA,Saudi Arabia,Asia,10.6,1.8,33.9,5,7.9,68.3,98.3,9.3,62,73.39639355,https://www.topuniversities.com/sites/default/files/qassim-university_592560cf2aeae70239af52de_small.jpg
786,Texas Tech University,NA,United States,North America,10.9,11.3,6.2,10.6,9.6,70.5,36.6,55.4,50,89.24293274,https://www.topuniversities.com/sites/default/files/texas-tech-university_592560cf2aeae70239af51b2_small.jpg
787,The New School,NA,United States,North America,15.2,2.6,41.1,8.2,92.3,19.6,5.7,1,73,89.24293274,https://www.topuniversities.com/sites/default/files/the-new-school_1814_small.jpg
788,Universidad de Belgrano,NA,Argentina,Latin America,9.4,1,86.6,12.7,24.1,2.5,5.4,NA,54,54.82965427,https://www.topuniversities.com/sites/default/files/230203072839pm689446isotipo2022-Institucional-fondo-institucional-48x48.jpg
789,Universidade Federal de Santa Catarina ,NA,Brazil,Latin America,19.3,8.5,19.2,4.8,2.2,62.1,4.1,52.1,54,46.15332796,https://www.topuniversities.com/sites/default/files/universidade-federal-de-santa-catarina_2746_small.jpg
790,University of Latvia,NA,Latvia,Europe,11.5,5.3,5.9,16.7,5.1,71.5,12.1,9.8,69,64.0854435,https://www.topuniversities.com/sites/default/files/university-of-latvia_592560cf2aeae70239af5637_small.jpg
791,University of Mons ,NA,Belgium,Europe,7.1,37.3,3.4,7,33.7,43.7,35,1.6,54,80.92198385,https://www.topuniversities.com/sites/default/files/university-of-mons-_592560cf2aeae70239af4f68_small.jpg
792,Zurich University of Applied Sciences (ZHAW),NA,Switzerland,Europe,5.4,2.7,75,6.6,12.8,41.4,65.9,1.6,54,93.52750603,https://www.topuniversities.com/sites/default/files/220318050904pm242987zhaw-zurich-university-of-applied-sciences-logo-48x48.jpg
793,Alfaisal University,NA,Saudi Arabia,Asia,4.8,10.6,21.6,3,89,19.1,100,1.1,56,73.39639355,https://www.topuniversities.com/sites/default/files/alfaisal-university_592560cf2aeae70239af52dd_small.jpg
794,Ivane Javakhishvili Tbilisi State University,NA,Georgia,Asia,10.4,1.2,73.9,1.2,3.2,22.7,1.9,1,61,39.13105743,https://www.topuniversities.com/sites/default/files/ivane-javakhishvili-tbilisi-state-university_592560e59988f300e2321ac8_small.jpg
795,Keele University,NA,United Kingdom,Europe,6,26.2,14.4,4.4,30.7,62.9,51.6,3.1,60,78.90086953,https://www.topuniversities.com/sites/default/files/230707030402pm540140200px-x-200px-logo-48x48.jpg
796,New Jersey Institute of Technology (NJIT),NA,United States,North America,4.8,30.4,10.2,6.7,52.9,29.1,31.5,26.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/new-jersey-institute-of-technology-njit_592560cf2aeae70239af5376_small.jpg
797,Sechenov University,NA,Russia,Europe,5.3,4.3,57.4,5,63,83.6,9,1,69,56.86751092,https://www.topuniversities.com/sites/default/files/sechenov-university_592560cf2aeae70239af57de_small.jpg
798,Universidad de Antioquia,NA,Colombia,Latin America,29.1,4.3,4.1,20.8,1.2,48.1,3.7,2.9,54,39.64359706,https://www.topuniversities.com/sites/default/files/universidad-de-antioquia_592560cf2aeae70239af5149_small.jpg
799,University of Kentucky,NA,United States,North America,11.1,23.5,15.3,9.8,3.3,75.4,12.9,10.1,58,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-kentucky_316_small.jpg
800,University of New Mexico,NA,United States,North America,10.5,14.9,43.5,8,4,73.1,8.2,11,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-new-mexico_592560cf2aeae70239af4c41_small.jpg
801,"Vellore Institute of Technology (VIT), Vellore, India",NA,India,Asia,12.7,18.9,7.3,16.1,2.9,76.9,8.9,29.6,54,18.52273058,https://www.topuniversities.com/sites/default/files/vellore-institute-of-technology-vit_592560cf2aeae70239af4e26_small.jpg
802,Wayne State University,NA,United States,North America,7.6,10.6,62.1,3.4,5.4,73.6,13.3,3.1,61,89.24293274,https://www.topuniversities.com/sites/default/files/wayne-state-university_592560cf2aeae70239af51d1_small.jpg
803,Al-Ahliyya Amman University,NA,Jordan,Asia,9.6,2.7,9.4,10.1,100,16.9,75.5,1.5,49,30.29852148,https://www.topuniversities.com/sites/default/files/al-ahliyya-amman-university_592560e29988f300e232131e_small.jpg
804,Alexandria University ,NA,Egypt,Africa,23.1,2,4.5,18.3,4.8,76.4,1.7,6.9,54,30.3810941,https://www.topuniversities.com/sites/default/files/alexandria-university_1209_small.jpg
805,Ankara Üniversitesi,NA,Türkiye,Asia,20.2,2.6,7.8,16.8,4.6,70.6,2.3,2.9,54,NA,https://www.topuniversities.com/sites/default/files/ankara-niversitesi_592560cf2aeae70239af50a5_small.jpg
806,Asia University Taiwan,NA,Taiwan,Asia,5.9,52.5,3.6,1.8,3.2,57.1,9.9,1.7,54,NA,https://www.topuniversities.com/sites/default/files/asia-university-taiwan_592560df9988f300e2320a10_small.jpg
807,Beijing University of Technology,NA,China,Asia,7.7,33.1,38.2,4.9,1.8,31.9,4.7,1.6,54,52.76973633,https://www.topuniversities.com/sites/default/files/beijing-university-of-technology_2012_small.jpg
808,Belarusian National Technical University (BNTU),NA,Belarus,Europe,14.8,1,51,26.7,34.1,5.1,2.1,NA,54,43.27483676,https://www.topuniversities.com/sites/default/files/belarusian-national-technical-university-bntu_592560cf2aeae70239af5828_small.jpg
809,"Birla Institute of Technology and Science, Pilani",NA,India,Asia,11,20.4,8,19.7,2.5,37.6,2.2,30.4,20,18.52273058,https://www.topuniversities.com/sites/default/files/birla-institute-of-technology-and-science-pilani_592560cf2aeae70239af4e0e_small.jpg
810,Edinburgh Napier University,NA,United Kingdom,Europe,5,11.8,4,5,86,60.1,77.5,2.2,52,78.90086953,https://www.topuniversities.com/sites/default/files/ENU-logo-Stacked-200x200px-48x48.jpg
811,Gdańsk University of Technology,NA,Poland,Europe,9.4,12.7,29.6,15.2,4,65.8,5.3,33.3,38,59.99969104,https://www.topuniversities.com/sites/default/files/gdask-university-of-technology_592560e59988f300e2321bdf_small.jpg
812,Huazhong Agricultural University,NA,China,Asia,4.2,59.7,6,2.1,1.6,31.6,3.7,2.9,54,52.76973633,https://www.topuniversities.com/sites/default/files/huazhong-agricultural-university_2047_small.jpg
813,Immanuel Kant Baltic Federal University,NA,Russia,Europe,7.6,1.8,79.4,2.5,40.2,35.2,21.8,1.2,59,56.86751092,https://www.topuniversities.com/sites/default/files/immanuel-kant-baltic-federal-university_592560cf2aeae70239af58ab_small.jpg
814,Instituto Politécnico Nacional (IPN),NA,Mexico,Latin America,19.1,2,9.1,28.8,1.1,46,2.2,35.7,42,49.96921193,https://www.topuniversities.com/sites/default/files/instituto-politcnico-nacional-ipn_592560cf2aeae70239af5483_small.jpg
815,Jouf University,NA,Saudi Arabia,Asia,11.7,2.3,37.1,5.1,2.6,43.5,100,1,64,73.39639355,https://www.topuniversities.com/sites/default/files/jouf-university_592560cf2aeae70239af5463_small.jpg
816,Khoja Akhmet Yassawi International Kazakh-Turkish University,NA,Kazakhstan,Asia,16.7,1.2,44.6,27.9,16.3,3.2,7.1,1.5,54,49.9990473,https://www.topuniversities.com/sites/default/files/khoja-akhmet-yassawi-international-kazakh-turkish-university_592560cf2aeae70239af5981_small.jpg
817,Kuwait University,NA,Kuwait,Asia,14.7,2.9,6.8,7.9,19.4,39.3,20.4,17.1,73,76.57570279,https://www.topuniversities.com/sites/default/files/231022092206am554044%D8%B4%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-200-px-01-48x48.jpg
818,Liverpool John Moores University,NA,United Kingdom,Europe,10,12.3,8,6.8,22.4,87.7,46.7,13.6,54,78.90086953,https://www.topuniversities.com/sites/default/files/liverpool-john-moores-university_592560cf2aeae70239af50e9_small.jpg
819,London South Bank University,NA,United Kingdom,Europe,3.3,4.4,9.1,2.9,96.8,47.6,87.1,15.4,56,78.90086953,https://www.topuniversities.com/sites/default/files/240807021257pm729019Untitled-design-48x48.jpg
820,Maynooth University,NA,Ireland,Europe,10.4,12.7,9.2,7.7,16.7,48.5,87.4,6.4,56,95.98810954,https://www.topuniversities.com/sites/default/files/maynooth-university_766_small.jpg
821,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",NA,Ukraine,Europe,16.2,1.5,37.4,31.8,2,20.4,1,4.3,54,28.75240605,https://www.topuniversities.com/sites/default/files/national-technical-university-of-ukraine-igor-sikorsky-kyiv-polytechnic-institute_592560cf2aeae70239af55b9_small.jpg
822,Ocean University of China,NA,China,Asia,5.4,50.5,9.4,2.7,1.9,51.1,3.2,4,54,52.76973633,https://www.topuniversities.com/sites/default/files/ocean-university-of-china_592560cf2aeae70239af5282_small.jpg
823,Philipps-Universität Marburg ,NA,Germany,Europe,12.7,25,5.2,8.8,20.7,61.6,14.9,5.1,54,80.39040908,https://www.topuniversities.com/sites/default/files/philipps-universitt-marburg_392_small.jpg
824,Pontificia Universidad Católica de Valparaíso,NA,Chile,Latin America,27,6.6,4.7,24.4,1.6,39.9,11.3,1.6,54,56.87417626,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-valparaso_733_small.jpg
825,Rutgers University–Newark,NA,United States,North America,10.1,17.6,17.5,4.9,32.7,27.9,25.3,29.3,54,89.24293274,https://www.topuniversities.com/sites/default/files/rutgers-the-state-university-of-new-jersey_592560cf2aeae70239af52b1_small.jpg
826,Syracuse University,NA,United States,North America,12.9,10.6,11.6,8.7,39.3,55.5,5.8,11.6,53,89.24293274,https://www.topuniversities.com/sites/default/files/syracuse-university_812_small.jpg
827,TU Dortmund University,NA,Germany,Europe,14.1,6.2,28.1,16,17.1,61.1,22.4,3.7,49,80.39040908,https://www.topuniversities.com/sites/default/files/tu-dortmund-university_592560cf2aeae70239af4b24_small.jpg
828,The Catholic University of Korea ,NA,South Korea,Asia,4.5,14.1,98.6,2.9,22.5,10.5,3.8,6.5,54,71.9896875,https://www.topuniversities.com/sites/default/files/the-catholic-university-of-korea-_592560cf2aeae70239af4ed7_small.jpg
829,Toronto Metropolitan University (formerly Ryerson University),NA,Canada,North America,8,26.4,1.8,12,8.1,57,35.4,3.8,54,83.04588614,https://www.topuniversities.com/sites/default/files/240703034600pm717180tmu-social-icon-48x48.jpg
830,Universidad Anáhuac México,NA,Mexico,Latin America,13.1,1.1,50,20.4,3,5.8,5.3,1,54,49.96921193,https://www.topuniversities.com/sites/default/files/universidad-anahuac_592560cf2aeae70239af4a97_small.jpg
831,Universidad Iberoamericana Ciudad de México - IBERO,NA,Mexico,Latin America,18.5,1.3,32.3,24.3,2.2,5.2,5.4,1.1,54,49.96921193,https://www.topuniversities.com/sites/default/files/240131094720pm844056LOGO-200x200-48x48.jpg
832,Universidad San Francisco de Quito (USFQ),NA,Ecuador,Latin America,16,2.4,40.1,8.6,1.9,24.9,53.1,21.5,54,39.03907817,https://www.topuniversities.com/sites/default/files/universidad-san-francisco-de-quito-usfq_592560cf2aeae70239af54e1_small.jpg
833,Universitas Brawijaya ,NA,Indonesia,Asia,19.2,1.4,11.5,42.4,1.4,19.6,13.7,9,54,32.66336292,https://www.topuniversities.com/sites/default/files/university-of-brawijaya_761_small.jpg
834,Universiti Tunku Abdul Rahman (UTAR),NA,Malaysia,Asia,14,5.8,12.4,30.9,4.9,45.5,12.7,26.5,51,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-tunku-abdul-rahman-utar_592560cf2aeae70239af5243_small.jpg
835,University of Alaska Fairbanks,NA,United States,North America,2.7,12.9,98.8,2,3,42.6,4.8,2.5,55,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-alaska-fairbanks_592560cf2aeae70239af51b6_small.jpg
836,University of Alicante,NA,Spain,Europe,13.5,7.7,25.3,6.7,12.8,71.7,7.3,31.3,59,70.02244012,https://www.topuniversities.com/sites/default/files/universidad-de-alicante_592560cf2aeae70239af5067_small.jpg
837,University of Baghdad,NA,Iraq,Asia,11,1.5,24.6,16.9,1.1,63.5,2.4,3.1,57,37.52210423,https://www.topuniversities.com/sites/default/files/university-of-baghdad_592560cf2aeae70239af5456_small.jpg
838,University of Bari,NA,Italy,Europe,12.4,25,4.6,3,2,81.6,4.9,25.7,54,72.96288444,https://www.topuniversities.com/sites/default/files/university-of-bari_45_small.jpg
839,University of Brighton,NA,United Kingdom,Europe,7.9,14.9,8.5,6.1,51.1,72.5,54.8,6.5,60,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-brighton_592560cf2aeae70239af4d45_small.jpg
840,University of Bucharest,NA,Romania,Europe,15.2,4.2,7.1,19.5,2,69.1,2.6,25.7,70,57.30023368,https://www.topuniversities.com/sites/default/files/university-of-bucharest_77_small.jpg
841,University of Hyderabad,NA,India,Asia,13.2,41.5,14.5,3,2,27,1.9,1.2,54,18.52273058,https://www.topuniversities.com/sites/default/files/university-of-hyderabad_592560cf2aeae70239af4d86_small.jpg
842,University of Oregon,NA,United States,North America,18.3,18.5,9.4,9.4,3.6,53.4,7.6,16.1,55,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-oregon_592560cf2aeae70239af4c58_small.jpg
843,UPES,NA,India,Asia,21.8,3.4,39.5,6.1,1.2,56.9,18.2,1,31,18.52273058,https://www.topuniversities.com/sites/default/files/230206030830am237475upes-logo-200px-48x48.jpg
844,University of Salerno,NA,Italy,Europe,8.6,37.1,5.6,2.4,1.6,87.4,3.3,19.2,55,72.96288444,https://www.topuniversities.com/sites/default/files/university-of-salerno_592560cf2aeae70239af51f9_small.jpg
845,University of Stavanger,NA,Norway,Europe,7.1,5,84.6,5.8,NA,69.6,NA,5.1,58,96.49396244,https://www.topuniversities.com/sites/default/files/220318112016am666420stavanger-48x48.jpg
846,University of Ulsan ,NA,South Korea,Asia,5,33.6,60,2.3,2.4,28.8,2,5.6,54,71.9896875,https://www.topuniversities.com/sites/default/files/university-of-ulsan_1111_small.jpg
847,Università degli Studi di Perugia,NA,Italy,Europe,9.1,40.9,3.5,2.3,5.4,65.9,6.4,11.5,54,72.96288444,https://www.topuniversities.com/sites/default/files/universit-degli-studi-di-perugia_497_small.jpg
848,Universität Duisburg-Essen,NA,Germany,Europe,11.3,11.2,13.2,4.2,39.4,81.4,35,5.9,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-duisburg-essen_199_small.jpg
849,Universität Rostock,NA,Germany,Europe,7.3,5.2,84.4,2.9,13.2,68.8,NA,3.4,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-rostock_592560cf2aeae70239af4fdb_small.jpg
850,Université de Lorraine,NA,France,Europe,13.6,12.9,7,3.3,27.4,95.9,27.6,11.8,54,77.46249131,https://www.topuniversities.com/sites/default/files/universit-de-lorraine_592560cf2aeae70239af4c2f_small.jpg
851,Wuhan University of Technology,NA,China,Asia,6.9,47,11.5,2.5,2.5,51,NA,1.5,54,52.76973633,https://www.topuniversities.com/sites/default/files/wuhan-university-of-technology_890_small.jpg
852,AGH University of Krakow,NA,Poland,Europe,9.6,6.5,41.5,13.9,5.3,75.6,2.9,1.7,35,59.99969104,https://www.topuniversities.com/sites/default/files/agh-university-of-science-and-technology_1461_small.jpg
853,Al-Quds University,NA,Palestinian Territories,Asia,5.8,1.7,12.7,14.6,66.8,30.6,61.5,3,61,NA,https://www.topuniversities.com/sites/default/files/al-quds-university-the-arab-university-in-jerusalem_592560cf2aeae70239af5474_small.jpg
854,Applied Science Private University - Jordan,NA,Jordan,Asia,9.9,3.1,28.6,15.7,59.7,10.4,39.3,1.8,54,30.29852148,https://www.topuniversities.com/sites/default/files/applied-science-private-university-jordan_592560cf2aeae70239af59fc_small.jpg
855,CY Cergy Paris University,NA,France,Europe,3.7,5,49.5,2.5,45.9,46,47.2,1.4,52,77.46249131,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-2021-05-14T142106.589-48x48.jpg
856,Charles Sturt University ,NA,Australia,Oceania,5.1,8.1,8.2,5.4,47.9,53.4,45.4,41.7,54,86.09321752,https://www.topuniversities.com/sites/default/files/charles-sturt-university-_592560cf2aeae70239af4dcc_small.jpg
857,Chonnam National University,NA,South Korea,Asia,9.3,12.4,45.4,4.7,7.3,28.5,9,44.3,49,71.9896875,https://www.topuniversities.com/sites/default/files/chonnam-national-university_125_small.jpg
858,Chungnam National University,NA,South Korea,Asia,8.8,10.7,46.3,7.8,9.2,32.7,7.2,25.7,47,71.9896875,https://www.topuniversities.com/sites/default/files/chungnam-national-university_592560cf2aeae70239af4b02_small.jpg
859,Clarkson University,NA,United States,North America,1.3,41.8,13.5,1.9,15,30.6,48.5,1.2,34,89.24293274,https://www.topuniversities.com/sites/default/files/clarkson-university_592560cf2aeae70239af5181_small.jpg
860,Donghua University,NA,China,Asia,3.8,47.3,25.5,1.6,3.1,31.1,2.2,1.1,44,52.76973633,https://www.topuniversities.com/sites/default/files/donghua-university_592560cf2aeae70239af526e_small.jpg
861,Georgia State University,NA,United States,North America,11.3,22.4,4.3,14.2,10.4,62.3,4.8,7.2,61,89.24293274,https://www.topuniversities.com/sites/default/files/georgia-state-university_592560cf2aeae70239af4b65_small.jpg
862,Gulf University for Science and Technology,NA,Kuwait,Asia,14.6,4.8,11.2,9.3,27.7,9.3,100,1.1,54,76.57570279,https://www.topuniversities.com/sites/default/files/240211051651am186387GUST-Logo200x200-48x48.jpg
863,Jamia Millia Islamia,NA,India,Asia,9.3,26,33.6,3.1,5.2,43,3.2,1.6,52,18.52273058,https://www.topuniversities.com/sites/default/files/jamia-millia-islamia-new-delhi_592560e19988f300e2320f1d_small.jpg
864,Kansas State University ,NA,United States,North America,8.2,22.1,10.3,6.7,4.6,74.9,10.1,10.2,54,89.24293274,https://www.topuniversities.com/sites/default/files/kansas-state-university_1912_small.jpg
865,Karaganda State Technical University,NA,Kazakhstan,Asia,9.7,1.1,84.6,7.7,18.8,2.4,10,1.2,54,49.9990473,https://www.topuniversities.com/sites/default/files/karaganda-state-technical-university_14129_small.jpg
866,Kyrgyz Russian Slavic University,NA,Kyrgyzstan,Asia,9.3,1,99.8,7,NA,3.1,NA,NA,54,10.04242256,https://www.topuniversities.com/sites/default/files/231107033117pm997366download--11--48x48.jpg
867,Mendel University in Brno,NA,Czechia,Europe,6.2,4.1,55.1,6.5,32.1,59.1,11.2,1.2,57,NA,https://www.topuniversities.com/sites/default/files/mendel-university-in-brno_592560e59988f300e2321bf0_small.jpg
868,Nagasaki University,NA,Japan,Asia,6.9,6.3,81,2.3,4.7,49.2,5.8,2.1,39,73.04123134,https://www.topuniversities.com/sites/default/files/nagasaki-university_592560cf2aeae70239af4c2d_small.jpg
