Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
348,University of Naples - Federico II,32.8,Italy,Europe,36.6,65.1,4.2,19.7,1.1,92.5,2.2,20.1,54,72.96288444,https://www.topuniversities.com/sites/default/files/university-of-naples-federico-ii_432_small.jpg
349,University of Victoria (UVic),32.6,Canada,North America,17,62.5,3.9,7.7,40.9,54.2,94.7,82.9,54,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-victoria-uvic_592560cf2aeae70239af4d0e_small.jpg
350,Cairo University,32.5,Egypt,Africa,45.8,3,8.8,41,7.2,86.4,2.9,47.2,60,30.3810941,https://www.topuniversities.com/sites/default/files/cairo-university_80_small.jpg
351,Sciences Po,32.5,France,Europe,16.8,2.8,81.1,34.8,97.2,31.4,52.7,7.2,63,77.46249131,https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg
352,"City, University of London",32.4,United Kingdom,Europe,20.8,31.2,5.6,21.3,98.9,66.4,95.8,23.2,58,78.90086953,https://www.topuniversities.com/sites/default/files/240911011532pm115235Picture1-48x48.jpg
353,National University of Sciences & Technology (NUST) Islamabad,32.3,Pakistan,Asia,20.4,14.5,68.8,71.6,4,73.6,4.3,44.9,54,9.699987771,https://www.topuniversities.com/sites/default/files/240603070305am370964NUST-Signature-blue-48x48.jpg
354,University of Pretoria,32.2,South Africa,Africa,23.9,15.5,4,48.8,8.2,98.1,33.3,79.6,59,39.20371445,https://www.topuniversities.com/sites/default/files/university-of-pretoria_506_small.jpg
355,Indiana University Bloomington,32.1,United States,North America,33.4,29.1,23.3,23.6,10.8,86.6,36.3,32.7,54,89.24293274,https://www.topuniversities.com/sites/default/files/indiana-university-bloomington_289_small.jpg
356,University of Coimbra,32.1,Portugal,Europe,29.4,49.8,10.3,10.8,22.9,91.2,8.1,75.8,57,66.14337006,https://www.topuniversities.com/sites/default/files/university-of-coimbra_592560cf2aeae70239af4b07_small.jpg
357,University of Luxembourg,32.1,Luxembourg,Europe,9.2,25.2,80.8,4.5,100,70.1,100,3.1,53,100,https://www.topuniversities.com/sites/default/files/university-of-luxembourg_592560cf2aeae70239af4d59_small.jpg
358,University of Tartu,32,Estonia,Europe,22.9,10.8,93.7,10.5,15.1,88.8,48.6,18,68,69.30933802,https://www.topuniversities.com/sites/default/files/university-of-tartu_592560cf2aeae70239af4d08_small.jpg
359,Gwangju Institute of Science and Technology (GIST),31.9,South Korea,Asia,13.8,100,38.6,9,8.8,27,18.6,9.9,26,71.9896875,https://www.topuniversities.com/sites/default/files/231023124904am973997GIST-200px-emblem-48x48.jpg
360,Pontificia Universidad Catolica del Peru (PUCP),31.9,Peru,Latin America,48.4,1.6,33.2,61.6,1.3,38.1,4,29.6,54,41.41665713,https://www.topuniversities.com/sites/default/files/210825042529am231772Isotipo-PUCP-200x200-48x48.jpg
361,University of Aveiro,31.9,Portugal,Europe,13.9,90.6,11.1,5.6,15.3,89,4.2,57.7,54,66.14337006,https://www.topuniversities.com/sites/default/files/220127095852am750420Logo-web-cores-02-48x48.jpg
362,Sultan Qaboos University,31.7,Oman,Asia,18.6,21.9,55.6,17.1,3.2,78.8,100,55.4,50,66.18997878,https://www.topuniversities.com/sites/default/files/sultan-qaboos-university_2530_small.jpg
363,Xiamen University,31.7,China,Asia,23.6,72.2,19,16.2,3.1,62.6,5.1,15.4,54,52.76973633,https://www.topuniversities.com/sites/default/files/xiamen-university_891_small.jpg
364,York University,31.7,Canada,North America,22.7,22.6,3.9,18.6,78.7,65.5,53.1,86.5,55,83.04588614,https://www.topuniversities.com/sites/default/files/york-university_592560cf2aeae70239af4d39_small.jpg
365,Saint Petersburg State University,31.6,Russia,Europe,36.3,4.6,59.4,30.5,38.9,83.9,4.9,3.2,54,56.86751092,https://www.topuniversities.com/sites/default/files/saint-petersburg-state-university_592560cf2aeae70239af4cc0_small.jpg
366,University of Illinois at Chicago (UIC),31.6,United States,North America,38.5,23.3,31.1,28.3,19.3,83.8,8,34.8,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg
367,University of Münster,31.5,Germany,Europe,31.6,10,64.5,22.8,4.5,82,30.5,66.8,54,80.39040908,https://www.topuniversities.com/sites/default/files/231027093236am438692Logo-UniMuenster-200PixelBreite-RGB-48x48.jpg
368,Mahidol University,31.4,Thailand,Asia,44.1,4.7,81.1,21.8,4.2,57.2,4.9,57.7,64,40.42188741,https://www.topuniversities.com/sites/default/files/mahidol-university_381_small.jpg
369,University of Jordan,31.4,Jordan,Asia,32.9,3.5,19.5,46.7,43.5,67,21.2,39.5,54,30.29852148,https://www.topuniversities.com/sites/default/files/university-of-jordan_592560cf2aeae70239af533b_small.jpg
370,University of Tehran,31.4,Iran,Asia,20.6,79.1,3,26.8,2,86.2,2,4.7,5,30.89332457,https://www.topuniversities.com/sites/default/files/university-of-tehran_699_small.jpg
371,George Washington University,31.3,United States,North America,25.2,27.5,27.3,28.8,34.4,79.5,24.6,27.3,62,89.24293274,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg
372,Lincoln University,31.3,New Zealand,Oceania,8.2,52.1,31.8,5,96.3,20.2,100,48.9,54,80.28335843,https://www.topuniversities.com/sites/default/files/lincoln-university-_592560cf2aeae70239af4ef3_small.jpg
